Date,Description,Debit Amt,Credit Amt,Balance
ChatGPT,Powered Karbon Bannk,,,
Date,Description Debit Amt Credit Amt Balance,,,
01-08-2024,Salary Credit XYZ Pvt Ltd 19353 686458,,,
02-08-2024,Salary Credit XYZ Pvt Ltd 165261 851719,,,
03-08-2024,IMPS UPI Payment Amazon 388608 463111,,,
03-08-2024,Mobile Recharge Via UPI 164872 627983,,,
14-08-2024,Fuel Purchase Debit Card 387857 101584,,,
17-08-2024,Electricity Bill NEFT Online 196311 1212151,,,
18-08-2024,Interest Credit Saving Account 59672 1152479,,,
25-08-2024,Cheque Deposit Local Clearing 61786 1090693,,,
27-08-2024,Fuel Purchase Debit Card 265096 1355789,,,
01-09-2024,Dining Out Card Swipe 65642 1421431,,,
08-09-2024,Mobile Recharge Via UPI 415096 1006335,,,
12-09-2024,Cheque Deposit Local Clearing 82671 1089006,,,
16-09-2024,Fuel Purchase Debit Card 314844 140385,,,
16-09-2024,Credit Card Payment ICICI 162934 1240916,,,
20-09-2024,NEFT Transfer To ABC Ltd 427577 1668493,,,
25-09-2024,Salary Credit XYZ Pvt Ltd 250717 191921,,,
26-09-2024,IMPS UPI Payment Amazon 74064 1993274,,,
03-10-2024,EMI Auto Debit HDFC Bank 251644 2244918,,,
06-10-2024,Utility Bill Payment Electricity 420851 1824067,,,
07-10-2024,Service Charge GST Debit 359389 2183456,,,
09-10-2024,Cash Deposit Branch Counter 321504 250496,,,
12-10-2024,IMPS UPI Payment Amazon 409872 2914832,,,
15-10-2024,UPI QR Payment Groceries 371369 2543463,,,
22-10-2024,Salary Credit XYZ Pvt Ltd 41822 2125243,,,
23-10-2024,UPI QR Payment Groceries 361584 1763659,,,
26-10-2024,EMI Auto Debit HDFC Bank 100621 1663038,,,
04-11-2024,Service Charge GST Debit 75693 1587345,,,
04-11-2024,Cash Deposit Branch Counter 62218 1649563,,,
06-11-2024,Cash Deposit Branch Counter 377756 1271807,,,
07-11-2024,Fuel Purchase Debit Card 29860 973207,,,
11-11-2024,UPI QR Payment Groceries 311644 1284851,,,
14-11-2024,Utility Bill Payment Electricity 32012 1252839,,,
14-11-2024,Electricity Bill NEFT Online 307938 1560777,,,
19-11-2024,NEFT Transfer To ABC Ltd 492574 1068203,,,
21-11-2024,Cheque Deposit Local Clearing 51593 1119796,,,
26-11-2024,Fuel Purchase Debit Card 431932 1551728,,,
01-12-2024,Fuel Purchase Debit Card 82175 1633903,,,
04-12-2024,Cheque Deposit Local Clearing 293904 1339999,,,
07-12-2024,Dining Out Card Swipe 217758 1557757,,,
13-12-2024,Cash Deposit Branch Counter 121014 1436743,,,
17-12-2024,IMPS UPI Payment Amazon 168384 1605127,,,
18-12-2024,Cash Deposit Branch Counter 47068 1134447,,,
24-12-2024,Cheque Deposit Local Clearing 13590 1270347,,,
27-12-2024,NEFT Transfer From PQR Pvt 467802 802545,,,
01-01-2025,UPI QR Payment Groceries 244781 1047326,,,
05-01-2025,UPI QR Payment Groceries 27087 1020239,,,
15-01-2025,NEFT Transfer From PQR Pvt 378246 641993,,,
23-01-2025,Credit Card Payment ICICI 42636 684629,,,
27-01-2025,Service Charge GST Debit 433226 251403,,,
27-01-2025,Fuel Purchase Debit Card 153365 404768,,,
